Samples	M1_S1	M2_S2	M3_S3	N4_S4	N5_S5	N6_S6	O1_S7	O2_S8	O3_S9	V1_S10	V4_S12	V6_S11	X1_S13	X2_S14	X4_S15	Z2_S16	Z3_S17	Z4_S18
Condition	Remission-Responder	Remission-Responder	Remission-Responder	Relapse-non-responder	Relapse-non-responder	Relapse-non-responder	Baseline-Active	Baseline-Active	Baseline-Active	Baseline-Active	Baseline-Active	Baseline-Active	Relapse-non-responder	Relapse-non-responder	Relapse-non-responder	Remission-Responder	Remission-Responder	Remission-Responder
Bacteria |Fusobacteria |Fusobacteriia |Fusobacteriales |Fusobacteriaceae |Fusobacterium |Fusobacterium sp. CAG	8.12E-07	1.42E-06	2.35E-05	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Bacteria |Proteobacteria |Alphaproteobacteria |Rhodospirillales |Rhodospirillaceae |Azospirillum |Azospirillum sp. CAG	0.026894596	0.037849692	0.071879785	0	6.62E-06	0	0	0	0	0	0	0	1.19E-05	0	5.02E-07	0	0	0
Bacteria |Proteobacteria |Alphaproteobacteria |Rhodospirillales |Unknown|Unknown|Unknown	0.000378518	0.000652266	0.000821085	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Bacteria |Proteobacteria |Alphaproteobacteria |Unknown|Unknown|Unknown|Unknown	0	0	7.83E-07	0	0	0	0	0	0	0	0	0	7.62E-06	0	0	0	0	0
Bacteria |Proteobacteria |Betaproteobacteria |Burkholderiales |Burkholderiaceae |Cupriavidus |Unknown	0	2.37E-07	1.37E-06	0	0	0	0	0	0	7.36E-06	0	0	0	0	0	0	0	0
Bacteria |Proteobacteria |Betaproteobacteria |Burkholderiales |Unknown|Unknown|[Polyangium] brachysporum 	1.51E-05	1.09E-05	2.74E-05	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Bacteria |Proteobacteria |Betaproteobacteria |Neisseriales |Neisseriaceae |Vitreoscilla |Vitreoscilla filiformis 	4.71E-06	4.50E-06	1.14E-05	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Bacteria |Proteobacteria |Deltaproteobacteria |Desulfobacterales |Desulfobacteraceae |Unknown|Unknown	7.31E-06	4.98E-06	8.62E-06	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Bacteria |Proteobacteria |Deltaproteobacteria |Desulfovibrionales |Desulfovibrionaceae |Desulfovibrio |Desulfovibrio desulfuricans 	0	4.74E-07	1.96E-06	0	0	0	8.36E-06	4.37E-06	0	0	0	0	0	0	0	0	0	0
Bacteria |Proteobacteria |Deltaproteobacteria |Desulfovibrionales |Desulfovibrionaceae |Desulfovibrio |Desulfovibrio legallii 	2.86E-05	1.83E-05	2.57E-05	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Bacteria |Proteobacteria |Deltaproteobacteria |Desulfovibrionales |Desulfovibrionaceae |Desulfovibrio |Desulfovibrio sp. 3_1_syn3 	3.90E-06	4.98E-06	1.31E-05	0	0	0	0	0	0	0	0	0	0	5.89E-07	0	0	0	0
Bacteria |Proteobacteria |Deltaproteobacteria |Desulfovibrionales |Desulfovibrionaceae |Desulfovibrio |Desulfovibrio sp. MES5 	0	4.74E-07	7.83E-07	0	0	0	0	0	0	1.11E-06	1.87E-06	1.49E-06	0	0	0	0	0	0
Bacteria |Proteobacteria |Deltaproteobacteria |Desulfovibrionales |Desulfovibrionaceae |Lawsonia |Lawsonia intracellularis 	3.25E-07	2.37E-07	2.74E-06	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Bacteria |Proteobacteria |Deltaproteobacteria |Unknown|Unknown|Unknown|uncultured delta proteobacterium 	0	2.37E-07	1.96E-06	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Bacteria |Proteobacteria |Epsilonproteobacteria |Campylobacterales |Campylobacteraceae |Campylobacter |Unknown	3.25E-07	2.37E-07	0	0	0	0	1.79E-06	3.04E-06	9.38E-07	0	0	0	0	5.89E-07	0	0	0	0
Bacteria |Proteobacteria |Gammaproteobacteria |Enterobacterales |Morganellaceae |Unknown|Unknown	0	0	3.92E-07	1.03E-06	7.72E-06	8.06E-07	0	0	0	0	0	0	0	0	0	0	0	0
Bacteria |Proteobacteria |Gammaproteobacteria |Pseudomonadales |Moraxellaceae |Acinetobacter |Acinetobacter sp. CAG	6.50E-07	1.90E-06	2.35E-05	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Bacteria |Proteobacteria |Gammaproteobacteria |Pseudomonadales |Moraxellaceae |Acinetobacter |Unknown	0	0	5.88E-06	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Bacteria |Proteobacteria |Unknown|Unknown|Unknown|Unknown|Proteobacteria bacterium CAG	2.68E-05	3.84E-05	6.15E-05	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Bacteria |Spirochaetes |Spirochaetia |Spirochaetales |Spirochaetaceae |Sediminispirochaeta |Sediminispirochaeta bajacaliforniensis 	4.87E-06	1.37E-05	3.92E-06	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Bacteria |Spirochaetes |Spirochaetia |Spirochaetales |Spirochaetaceae |Treponema |Treponema bryantii 	4.87E-07	4.74E-07	3.13E-06	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Bacteria |Spirochaetes |Spirochaetia |Spirochaetales |Spirochaetaceae |Treponema |Treponema denticola 	0	4.74E-07	0	0	0	0	0	0	0	1.56E-06	6.69E-06	2.98E-06	3.95E-06	5.15E-06	0	0	0	0
Bacteria |Spirochaetes |Spirochaetia |Spirochaetales |Spirochaetaceae |Treponema |Treponema primitia 	8.12E-07	1.19E-06	2.74E-06	0	0	0	0	0	0	0	0	0	6.35E-06	1.44E-05	0	0	0	0
Bacteria |Synergistetes |Synergistia |Synergistales |Synergistaceae |Cloacibacillus |Cloacibacillus sp. An23 	3.25E-07	9.48E-07	2.15E-06	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Bacteria |Synergistetes |Synergistia |Synergistales |Synergistaceae |Pyramidobacter |Unknown	6.50E-07	1.66E-06	4.31E-06	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Bacteria |Unknown|unified Bacteria no rank|Unknown|Unknown|Unknown|bacterium 0.1xD8-71 	3.25E-07	2.37E-07	5.88E-07	0	0	0	0	0	0	0	0	0	0	1.47E-06	0	0	0	0
Bacteria |Unknown|unified Bacteria no rank|Unknown|Unknown|Unknown|bacterium 1xD42-67 	4.87E-07	4.03E-06	3.72E-06	0	0	0	0	0	0	0	1.66E-05	0	9.88E-07	2.06E-06	0	0	0	0
Bacteria |Unknown|unified Bacteria no rank|Unknown|Unknown|Unknown|bacterium 1XD8-76 	3.73E-06	4.27E-06	2.74E-06	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Bacteria |Unknown|unified Bacteria no rank|Unknown|Unknown|Unknown|bacterium C-53 	1.46E-06	4.50E-06	4.50E-06	3.08E-06	2.76E-07	0	0	0	0	0	0	0	2.82E-07	0	0	0	0	0
Bacteria |Unknown|unified Bacteria no rank|Unknown|Unknown|Unknown|bacterium D16-50 	1.62E-07	1.66E-06	3.72E-06	0	0	0	0	0	0	2.23E-07	8.03E-07	3.72E-07	0	1.32E-06	0	0	0	0
Bacteria |Unknown|unified Bacteria no rank|Unknown|Unknown|Unknown|bacterium LF-3 	1.14E-06	2.84E-06	9.79E-07	0	0	0	0	0	0	0	0	0	1.41E-06	2.94E-07	1.67E-07	0	0	0
Bacteria |Verrucomicrobia |Verrucomicrobiae |Verrucomicrobiales |Akkermansiaceae |Akkermansia |Akkermansia muciniphila 	0.001112496	0.000889993	0.001027531	0	1.93E-06	0	8.06E-06	3.42E-06	1.88E-06	0	0	0	4.52E-06	5.89E-07	1.67E-07	0	0	0
Bacteria |Verrucomicrobia |Verrucomicrobiae |Verrucomicrobiales |Akkermansiaceae |Akkermansia* |Unknown	0.049204755	0.037253599	0.046735826	0	3.31E-06	1.61E-07	0	0	0	0	0	0	1.06E-05	1.47E-07	3.35E-07	0	0	0
Viruses |Unknown|unified Myoviridae no rank|Caudovirales |Myoviridae |Unknown|Unknown	1.46E-06	3.56E-06	2.10E-05	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Viruses |Unknown|unified Podoviridae no rank|Caudovirales |Podoviridae |Unknown|Podoviridae sp. 	9.21E-05	0.000173495	0.000237394	0	0	0	0	0	0	0	0	0	2.12E-06	2.94E-07	1.67E-07	0	0	0
Viruses |Unknown|unified Siphoviridae no rank|Caudovirales |Siphoviridae |Unknown|Siphoviridae sp. 	8.12E-07	2.84E-06	3.13E-06	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Viruses |Unknown|unified viruses no rank|Unknown|Unknown|Unknown|unidentified virus 	0	0	2.55E-06	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Viruses |Unknown|Unknown|Caudovirales |Myoviridae |P100virus |Unknown	6.50E-07	9.48E-07	1.25E-05	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Viruses |Unknown|Unknown|Caudovirales |Myoviridae |Unknown|Unknown	2.60E-06	1.04E-05	6.78E-05	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Bacteria |Bacteroidetes |Bacteroidia |Bacteroidales |Unknown|Unknown|Bacteroidales bacterium 52_46 	0	0	3.13E-06	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Bacteria |Firmicutes |Clostridia |Clostridiales |Clostridiaceae |Butyricicoccus |Butyricicoccus sp. AM27-36 	4.87E-07	2.37E-07	1.96E-07	0	0	0	0	0	0	0	0	0	0	2.65E-06	1.67E-07	0	0	0
Bacteria |Firmicutes |Clostridia |Clostridiales |Lachnospiraceae |Lachnoclostridium |[Clostridium] algidixylanolyticum 	2.18E-05	2.28E-05	8.23E-06	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Bacteria |Firmicutes |Clostridia |Clostridiales |Ruminococcaceae |Anaerotruncus |Anaerotruncus sp. AT3 	1.62E-07	0	1.96E-07	0	0	0	0	0	0	8.92E-07	1.61E-06	2.36E-06	2.54E-06	1.47E-07	0	0	0	0
Bacteria |Firmicutes |Clostridia |Clostridiales |Ruminococcaceae |Massilimaliae |Massilimaliae timonensis 	9.74E-07	2.37E-06	1.37E-06	0	0	0	0	0	0	0	0	0	3.05E-05	1.00E-05	1.02E-05	0	0	0
Bacteria |Proteobacteria |Alphaproteobacteria |Rhodospirillales |Rhodospirillaceae |Azospirillum |Unknown	0.000342144	0.000483748	0.000858104	0	1.10E-06	0	0	0	0	0	0	0	1.27E-06	0	1.67E-07	0	0	0
Bacteria |Actinobacteria |Coriobacteriia |Coriobacteriales |Coriobacteriaceae |Collinsella |Collinsella sp. AM15-2 	0	0	0	0	0	0	0	1.90E-07	1.56E-07	4.01E-06	2.14E-06	5.46E-06	4.23E-07	0	0	0	0	0
Bacteria |Bacteroidetes |Bacteroidia |Bacteroidales |Bacteroidaceae |Bacteroides |Bacteroides barnesiae 	0	0	0	0	0	0	0	0	0	1.34E-06	0	2.48E-06	0	0	0	0	0	0
Bacteria |Bacteroidetes |Bacteroidia |Bacteroidales |Bacteroidaceae |Bacteroides |Bacteroides massiliensis 	3.86E-05	2.87E-05	1.78E-05	0	0	0	1.79E-06	1.14E-06	6.25E-07	0.000160317	0.000168657	0.000159344	0	0	0	0	0	0
Bacteria |Bacteroidetes |Bacteroidia |Bacteroidales |Bacteroidaceae |Bacteroides |Bacteroides sp. AM16-15 	0	0	0	0	0	0	0	0	0	7.14E-06	9.37E-06	1.01E-05	0	0	0	0	0	0
Bacteria |Bacteroidetes |Bacteroidia |Bacteroidales |Bacteroidaceae |Bacteroides |Bacteroides sp. AM22-3LB 	0	0	0	0	0	0	0.000311276	0.000289804	2.19E-06	3.34E-06	2.68E-06	4.10E-06	0	0	0	0	0	0
Bacteria |Bacteroidetes |Bacteroidia |Bacteroidales |Muribaculaceae |Muribaculum |Unknown	0	0	0	0	0	0	0	0	0	4.01E-06	0	3.72E-06	0	0	0	0	0	0
Bacteria |Bacteroidetes |Bacteroidia |Bacteroidales |Porphyromonadaceae |Porphyromonas |Porphyromonas crevioricanis 	0	0	0	0	0	0	0	0	0	8.92E-07	2.68E-07	9.93E-07	4.09E-06	4.12E-06	0	0	0	0
Bacteria |Firmicutes |Bacilli |Bacillales |Bacillaceae |Bacillus |Bacillus subtilis group  group	0	0	0	6.85E-07	4.14E-06	2.58E-06	0	0	0	0	0	0	0	0	0	0	0	0
Bacteria |Firmicutes |Clostridia |Clostridiales |Clostridiaceae |Clostridium |Clostridium butyricum 	0	0	0	2.77E-05	1.13E-05	3.87E-06	0	0	0	0	0	0	0	0	0	0	0	0
Bacteria |Firmicutes |Clostridia |Clostridiales |Clostridiaceae |Clostridium |Clostridium sp. AM25-23AC 	0	0	0	0	0	0	0	0	0	2.68E-06	5.35E-07	2.85E-06	0	0	0	0	0	0
Bacteria |Firmicutes |Clostridia |Clostridiales |Lachnospiraceae |Roseburia |Roseburia sp. TF10-5 	0	0	0	0	0	0	0	0	0	0	6.43E-06	1.24E-07	0	0	0	0	0	0
Bacteria |Firmicutes |Clostridia |Clostridiales |Ruminococcaceae |Ruminococcus |Ruminococcus sp. AF31-14BH 	0	0	0	0	0	0	0	0	0	0	0	0	3.81E-06	5.89E-07	0	0	0	0
Bacteria |Firmicutes |Clostridia |Clostridiales |Unknown|Unknown|[Bacteroides] pectinophilus 	0	0	0	0	0	0	1.19E-06	1.90E-06	1.25E-06	0	0	0	0	0	0	0	0	0
Bacteria |Firmicutes |Negativicutes |Acidaminococcales |Acidaminococcaceae |Acidaminococcus |Acidaminococcus fermentans 	0	0	0	0	0	0	0	0	0	0	0	0	5.36E-06	5.89E-07	0	0	0	0
Bacteria |Firmicutes |Negativicutes |Selenomonadales |Selenomonadaceae |Selenomonas |Selenomonas sputigena 	0	0	0	3.42E-06	5.51E-07	0	0	0	0	0	0	0	0	0	0	0	0	0
Bacteria |Proteobacteria |Gammaproteobacteria |Enterobacterales |Enterobacteriaceae |Enterobacter |Enterobacter cloacae complex  group	0	0	0	9.93E-06	1.93E-06	1.35E-05	0	0	0	0	0	0	0	0	3.35E-07	0	0	0
Bacteria |Proteobacteria |Gammaproteobacteria |Enterobacterales |Enterobacteriaceae |Salmonella |Salmonella enterica 	0	0	0	1.44E-05	1.30E-05	8.06E-07	5.97E-07	0	3.13E-07	0	0	0	0	0	3.35E-07	0	0	0
Bacteria |Proteobacteria |Gammaproteobacteria |Enterobacterales |Enterobacteriaceae |Shigella |Shigella sonnei 	0	0	0	3.76E-06	2.76E-06	3.22E-06	0	0	0	0	0	0	0	0	0	0	0	0
Bacteria |Bacteroidetes |Bacteroidia |Bacteroidales |Bacteroidaceae |Bacteroides |Bacteroides acidifaciens 	0	0	0	0	0	0	3.28E-06	4.37E-06	5.47E-06	0	0	0	0	0	0	1.09E-07	0	0
Bacteria |Bacteroidetes |Bacteroidia |Bacteroidales |Rikenellaceae |Alistipes |Alistipes indistinctus 	0	0	0	0	0	0	0	0	0	5.35E-06	8.83E-06	5.46E-06	4.23E-07	1.32E-06	0	0	0	0
Bacteria |Bacteroidetes |Bacteroidia |Bacteroidales |Rikenellaceae |Alistipes |Alistipes sp. 56_sp_Nov_56_25 	0	0	0	0	0	0	0	0	0	3.57E-06	0	0	1.26E-05	8.70E-05	0	0	0	0
Bacteria |Bacteroidetes |Bacteroidia |Bacteroidales |Rikenellaceae |Alistipes |Alistipes sp. cv1 	0	0	0	0	0	0	0	0	0	0	5.35E-07	0	1.83E-06	2.35E-06	0	0	0	0
Bacteria |Bacteroidetes |Flavobacteriia |Flavobacteriales |Flavobacteriaceae |Unknown|Unknown	0	0	0	0	0	0	5.97E-07	1.90E-07	1.56E-07	0	0	0	0	7.36E-07	0	6.31E-06	1.00E-05	1.19E-05
Bacteria |Firmicutes |Bacilli |Lactobacillales |Enterococcaceae |Enterococcus |Enterococcus faecalis 	0	0	0	6.50E-06	0.00014529	1.68E-05	0	1.90E-07	4.69E-07	3.48E-05	5.19E-05	3.30E-05	1.58E-05	7.06E-06	2.66E-05	3.26E-07	1.50E-07	9.05E-08
Bacteria |Firmicutes |Bacilli |Lactobacillales |Streptococcaceae |Streptococcus |Streptococcus equinus 	0	0	0	0	0	0	0	0	2.81E-06	0	3.75E-06	8.31E-06	0	0	0	0	0	0
Bacteria |Firmicutes |Clostridia |Clostridiales |Clostridiaceae |Butyricicoccus |Butyricicoccus sp. AF35-5AC 	0	0	0	0	0	0	0	0	0	0	0	0	0	2.80E-06	1.67E-07	0	0	0
Bacteria |Firmicutes |Clostridia |Clostridiales |Clostridiaceae |Clostridium |Clostridium septicum 	0	0	0	6.47E-05	1.41E-05	6.61E-06	0	0	0	0	0	0	0	0	4.69E-06	0	0	0
Bacteria |Firmicutes |Clostridia |Clostridiales |Clostridiaceae |Clostridium |Clostridium sp. AF37-5AT 	0	0	0	0	0	0	0	0	0	0	0	0	8.47E-07	1.03E-06	2.01E-06	0	0	0
Bacteria |Firmicutes |Clostridia |Clostridiales |Clostridiaceae |Clostridium |Clostridium sp. OM04-12AA 	0	0	0	0	0	0	0	0	0	2.23E-07	5.35E-07	2.11E-06	0	2.06E-06	0	0	0	0
Bacteria |Firmicutes |Clostridia |Clostridiales |Clostridiaceae |Unknown|Clostridiaceae bacterium AF31-3BH 	0	0	0	0	5.51E-07	0	0	0	0	0	0	0	1.23E-05	1.47E-07	0	0	0	0
Bacteria |Firmicutes |Clostridia |Clostridiales |Clostridiaceae |Unknown|Clostridiaceae bacterium OF09-1 	0	0	0	0	0	0	0	0	0	0	0	0	1.33E-05	0	0	0	0	0
Bacteria |Firmicutes |Clostridia |Clostridiales |Clostridiales Family XIII. Incertae Sedis |Unknown|[Eubacterium] infirmum 	0	0	0	0	0	0	0	0	0	1.61E-05	1.61E-06	6.33E-06	1.41E-07	1.47E-07	0	0	0	0
Bacteria |Firmicutes |Clostridia |Clostridiales |Eubacteriaceae |Eubacterium |[Eubacterium] eligens 	0	0	0	0	0	0	0	0	0	0	0	0	0	3.24E-06	1.51E-06	0	0	0
Bacteria |Firmicutes |Clostridia |Clostridiales |Eubacteriaceae |Eubacterium |Eubacterium maltosivorans 	0	0	0	0	0	0	0	0	0	0	0	3.72E-07	5.64E-07	3.83E-06	0	0	0	0
Bacteria |Firmicutes |Clostridia |Clostridiales |Lachnospiraceae |Anaerosporobacter |Anaerosporobacter mobilis* 	0	0	0	0	0	0	0	0	0	0	0	0	1.69E-06	1.32E-06	0	0	0	0
Bacteria |Firmicutes |Clostridia |Clostridiales |Lachnospiraceae |Blautia |Blautia sp. SF-50 	0	0	0	0	0	0	0	0	0	0	0	0	0	1.62E-06	0	0	0	0
Bacteria |Firmicutes |Clostridia |Clostridiales |Lachnospiraceae |Kineothrix |Kineothrix alysoides* 	0	0	0	0	0	0	0	0	0	0	0	0	2.82E-06	1.47E-07	7.20E-06	0	0	0
Bacteria |Firmicutes |Clostridia |Clostridiales |Lachnospiraceae |Lachnoclostridium |[Clostridium] indolis 	0	0	0	0	0	0	0	0	0	0	0	0	2.82E-06	2.94E-07	5.69E-06	0	0	0
Bacteria |Firmicutes |Clostridia |Clostridiales |Lachnospiraceae |Unknown|Lachnospiraceae bacterium 3-2 	4.87E-07	9.48E-07	0	0	0	0	0	0	0	0	0	0	1.11E-05	8.83E-07	0	0	0	0
Bacteria |Firmicutes |Clostridia |Clostridiales |Lachnospiraceae |Unknown|Lachnospiraceae bacterium CAG	0	0	0	0	0	0	0	0	1.09E-06	0	2.68E-07	2.48E-07	1.03E-05	7.95E-06	0.000159146	0	0	0
Bacteria |Firmicutes |Clostridia |Clostridiales |Peptococcaceae |Desulfitobacterium |Desulfitobacterium hafniense 	0	0	0	0	0	0	0	0	0	0	0	0	0	2.06E-06	0	0	0	0
Bacteria |Firmicutes |Clostridia |Clostridiales |Ruminococcaceae |Anaerotruncus |Anaerotruncus sp. 1XD22-93 	0	0	0	0	0	0	0	0	0	2.23E-07	0	2.48E-07	1.69E-06	2.80E-06	5.52E-06	0	0	0
Bacteria |Firmicutes |Clostridia |Clostridiales |Ruminococcaceae |Ruminococcus |Ruminococcus sp. TF06-23 	0	0	0	0	0	0	0	0	0	0	0	0	0	3.09E-06	0	0	0	0
Bacteria |Firmicutes |Clostridia |Clostridiales |Unknown|Unknown|Clostridiales bacterium 43-6 	0	0	0	0	0	0	0	0	0	6.69E-07	0	0	0	3.24E-06	0	0	0	0
Bacteria |Firmicutes |Erysipelotrichia |Erysipelotrichales |Erysipelotrichaceae |Coprobacillus |Coprobacillus cateniformis 	0	0	0	0	0	0	0	0	0	0	0	0	6.91E-06	3.09E-06	1.17E-06	0	0	0
Bacteria |Firmicutes |Erysipelotrichia |Erysipelotrichales |Erysipelotrichaceae |Coprobacillus |Coprobacillus sp. 8_2_54BFAA 	0	0	0	0	0	0	3.91E-05	1.73E-05	1.49E-05	0	0	0	2.96E-06	8.83E-07	0	0	0	0
Bacteria |Firmicutes |Erysipelotrichia |Erysipelotrichales |Erysipelotrichaceae |Holdemania |Holdemania filiformis 	0	0	0	0	0	0	0	0	3.13E-07	0	0	0	3.32E-05	1.94E-05	0	0	0	0
Bacteria |Proteobacteria |Betaproteobacteria |Burkholderiales |Sutterellaceae |Dakarella |Dakarella massiliensis* 	0	0	0	0	0	0	0	0	0	0	0	0	9.31E-06	7.05E-05	0	0	0	0
Bacteria |Proteobacteria |Betaproteobacteria |Burkholderiales |Sutterellaceae |Mesosutterella |Mesosutterella multiformis* 	0	0	0	0	0	0	0	0	0	0	0	0	1.41E-07	3.53E-06	0	0	0	0
Bacteria |Proteobacteria |Deltaproteobacteria |Desulfovibrionales |Desulfovibrionaceae |Desulfovibrio |Desulfovibrio vulgaris 	0	0	0	0	0	0	1.43E-05	7.78E-06	0	3.34E-06	1.20E-05	1.13E-05	0	2.21E-06	0	0	0	0
Bacteria |Proteobacteria |Gammaproteobacteria |Enterobacterales |Enterobacteriaceae |Klebsiella |Klebsiella oxytoca 	0	0	0	4.45E-06	0.000233235	0.000107692	0	0	0	0	0	0	0	0	3.35E-07	0	0	0
Bacteria |Proteobacteria |Gammaproteobacteria |Enterobacterales |Morganellaceae |Proteus |Proteus mirabilis 	0	0	0	1.71E-06	3.80E-05	3.87E-06	0	0	0	0	0	0	0	0	5.02E-07	0	0	0
Bacteria |Spirochaetes |Spirochaetia |Spirochaetales |Unknown|Unknown|uncultured spirochete 	0	0	0	0	0	0	0	0	0	0	0	0	2.96E-06	8.24E-06	0	0	0	0
Bacteria |Unknown|unified Bacteria no rank|Unknown|Unknown|Unknown|bacterium 1xD42-87 	0	0	0	0	0	0	0	0	0	0	0	0	3.39E-06	5.30E-06	1.00E-06	0	0	0
Bacteria |Actinobacteria |Actinobacteria |Bifidobacteriales |Bifidobacteriaceae |Bifidobacterium |Bifidobacterium vansinderenii 	0	0	0	0	0	0	2.69E-06	3.80E-07	1.56E-06	0	0	0	0	0	0	0	0	0
Bacteria |Actinobacteria |Coriobacteriia |Coriobacteriales |Coriobacteriaceae |Collinsella |Collinsella sp. AF11-11 	0	0	0	0	0	0	0	0	0	1.78E-06	5.35E-07	2.48E-06	2.82E-07	0	0	0	0	0
Bacteria |Actinobacteria |Coriobacteriia |Coriobacteriales |Coriobacteriaceae |Collinsella |Collinsella sp. TM05-38 	0	0	0	0	0	0	0	0	0	2.23E-06	2.68E-07	2.36E-06	0	0	0	0	0	0
Bacteria |Bacteroidetes |Bacteroidia |Bacteroidales |Bacteroidaceae |Bacteroides |Bacteroides salyersiae 	0	0	0	0	0	0	0.001854825	0.002022934	2.97E-06	0	0	0	0	0	0	0	0	0
Bacteria |Bacteroidetes |Bacteroidia |Bacteroidales |Bacteroidaceae |Bacteroides |Bacteroides sp. AM56-10ce 	0	0	0	0	0	0	2.45E-05	1.50E-05	4.25E-05	4.46E-07	0	0	0	0	0	0	0	0
Bacteria |Bacteroidetes |Bacteroidia |Bacteroidales |Bacteroidaceae |Bacteroides |Bacteroides sp. An51A 	0	0	0	0	0	0	0.000279343	0.000267219	6.25E-07	0	0	0	0	0	0	0	0	0
Bacteria |Bacteroidetes |Bacteroidia |Bacteroidales |Bacteroidaceae |Bacteroides |Bacteroides sp. KCTC 15687 	0	0	0	7.87E-06	5.51E-07	0	0	0	0	8.92E-07	2.68E-07	1.37E-06	0	0	0	0	0	0
Bacteria |Bacteroidetes |Bacteroidia |Bacteroidales |Bacteroidaceae |Bacteroides |Bacteroides sp. KFT8 	0	0	0	0	5.51E-07	0	0	0	0	0	0	0	0	0	0	6.96E-06	1.00E-05	9.23E-06
Bacteria |Bacteroidetes |Bacteroidia |Bacteroidales |Bacteroidaceae |Bacteroides |Bacteroides sp. OF04-15BH 	0	0	0	0	0	0	0	0	0	1.34E-06	0	2.11E-06	0	0	0	0	0	0
Bacteria |Bacteroidetes |Bacteroidia |Bacteroidales |Odoribacteraceae |Odoribacter |Odoribacter splanchnicus CAG	0	0	0	0	0	0	2.98E-06	5.50E-06	2.50E-06	0	0	0	0	0	0	0	0	0
Bacteria |Bacteroidetes |Bacteroidia |Bacteroidales |Prevotellaceae |Prevotella |Prevotella ruminicola 	0	0	0	0	0	0	0	0	0	0	0	0	0	3.09E-06	0	0	0	0
Bacteria |Bacteroidetes |Bacteroidia |Bacteroidales |Tannerellaceae |Parabacteroides |Parabacteroides sp. OF01-14 	0	0	0	0	0	0	0.000205329	0.000413545	0.000229666	0	0	0	0	0	0	0	0	0
Bacteria |Bacteroidetes |Bacteroidia |Bacteroidales |Tannerellaceae |Parabacteroides |Parabacteroides sp. SN4 	0	0	0	0	0	0	0	0	0	6.69E-07	2.68E-07	0	3.95E-06	3.86E-05	1.67E-07	0	0	0
Bacteria |Firmicutes |Bacilli |Lactobacillales |Streptococcaceae |Streptococcus |Streptococcus gallolyticus 	0	0	0	0	8.27E-07	0	0	0	1.41E-06	4.46E-07	6.96E-06	2.12E-05	5.64E-07	2.94E-07	5.02E-07	0	0	0
Bacteria |Firmicutes |Bacilli |Lactobacillales |Streptococcaceae |Streptococcus |Streptococcus parasanguinis 	0	0	0	3.42E-07	6.75E-05	0	0	0	0	0	0	0	0	0	0	0	0	0
Bacteria |Firmicutes |Bacilli |Lactobacillales |Streptococcaceae |Streptococcus |Streptococcus salivarius 	0	0	0	0	8.27E-06	0	0	0	0	0	0	0	0	0	0	0	0	0
Bacteria |Firmicutes |Clostridia |Clostridiales |Clostridiaceae |Butyricicoccus |Butyricicoccus sp. GAM44 	0	0	0	0	0	0	0	0	0	0	0	0	0	1.57E-05	0	0	0	0
Bacteria |Firmicutes |Clostridia |Clostridiales |Clostridiaceae |Clostridium |Clostridium sp. TM06-18 	0	0	0	0	0	0	0	0	0	6.69E-07	0	1.37E-06	0	0	0	0	0	0
Bacteria |Firmicutes |Clostridia |Clostridiales |Clostridiaceae |Unknown|Clostridiaceae bacterium TF01-6 	0	0	0	0	0	0	0	0	0	0	0	0	1.38E-05	0	2.51E-05	0	0	0
Bacteria |Firmicutes |Clostridia |Clostridiales |Lachnospiraceae |Blautia |Blautia sp. BCRC 81119 	0	0	0	0	0	0	0	0	0	0	0	0	0	1.63E-05	0	0	0	0
Bacteria |Firmicutes |Clostridia |Clostridiales |Lachnospiraceae |Butyrivibrio |Butyrivibrio sp. LC3010 	0	0	0	0	0	0	0	0	0	0	0	0	0	1.06E-05	0	0	0	0
Bacteria |Firmicutes |Clostridia |Clostridiales |Lachnospiraceae |Unknown|Lachnospiraceae bacterium 9_1_43BFAA 	0	0	0	0	0	0	0	0	1.09E-06	0.000312385	0.000141618	0.000210846	1.41E-07	0	1.67E-07	0	0	0
