Samples	M1_S1	M2_S2	M3_S3	N4_S4	N5_S5	N6_S6	O1_S7	O2_S8	O3_S9	V1_S10	V4_S12	V6_S11	X1_S13	X2_S14	X4_S15	Z2_S16	Z3_S17	Z4_S18
Condition	Remission-Responder	Remission-Responder	Remission-Responder	Relapse-non-responder	Relapse-non-responder	Relapse-non-responder	Baseline-Active	Baseline-Active	Baseline-Active	Baseline-Active	Baseline-Active	Baseline-Active	Relapse-non-responder	Relapse-non-responder	Relapse-non-responder	Remission-Responder	Remission-Responder	Remission-Responder
Bacteria |Bacteroidetes |Bacteroidia |Bacteroidales |Bacteroidaceae |Bacteroides |Bacteroides vulgatus 	0.00171819	0.001379192	0.001408889	2.57E-05	5.79E-06	1.61E-07	9.85E-06	7.40E-06	0.002077939	0.001878991	0.00033303	0.00036473	0.001103985	0.001810368	0.002166633	0.003833545	0.006777871	0.004922389
Bacteria |Bacteroidetes |Bacteroidia |Bacteroidales |Bacteroidaceae |Bacteroides |Bacteroides vulgatus CAG	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.82E-05	2.91E-05	1.95E-05
Bacteria |Bacteroidetes |Bacteroidia |Bacteroidales |Bacteroidaceae |Bacteroides |Bacteroides xylanisolvens 	0.000665451	0.000416436	0.000305752	4.79E-06	1.10E-06	0	0	0	2.53E-05	0.000769256	0.000515341	0.001331469	0.000371664	0.00152885	0.000985502	0.00014434	0.000247474	0.000231315
Bacteria |Bacteroidetes |Bacteroidia |Bacteroidales |Bacteroidaceae |Bacteroides |uncultured Bacteroides sp. 	4.71E-06	4.03E-06	3.13E-06	0	0	0	1.34E-05	2.05E-05	5.32E-06	4.46E-06	8.30E-06	5.58E-06	0	0	0	5.33E-06	2.05E-05	1.94E-05
Bacteria |Bacteroidetes |Bacteroidia |Bacteroidales |Bacteroidaceae |Bacteroides |Unknown	0.630566498	0.451280784	0.413093795	0.476379536	0.219212094	0.647158057	0.573706674	0.611616945	0.566086217	0.513681044	0.664436201	0.579074179	0.515295777	0.709277674	0.46434168	0.585003077	0.544739677	0.550319285
Bacteria |Bacteroidetes |Bacteroidia |Bacteroidales |Bacteroidaceae |Mediterranea |Mediterranea massiliensis 	0	2.37E-07	2.15E-06	0	0	0	0	0	0	0	0	0	0	0	0	4.02E-06	5.85E-06	1.12E-05
Bacteria |Bacteroidetes |Bacteroidia |Bacteroidales |Bacteroidaceae |Unknown|Unknown	5.63E-05	8.25E-05	9.99E-05	5.48E-06	2.48E-06	1.61E-07	0.000851459	0.000876434	0.001206177	0.000815857	0.000928148	0.000998137	0.001006624	0.001395523	0.001658402	0.002976208	0.001489339	0.002825481
Bacteria |Bacteroidetes |Bacteroidia |Bacteroidales |Barnesiellaceae |Barnesiella |Barnesiella intestinihominis 	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.25E-05	4.35E-06	1.20E-05
Bacteria |Bacteroidetes |Bacteroidia |Bacteroidales |Odoribacteraceae |Butyricimonas |Butyricimonas faecihominis 	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2.80E-05	3.27E-05	2.60E-05
Bacteria |Bacteroidetes |Bacteroidia |Bacteroidales |Odoribacteraceae |Butyricimonas |Butyricimonas virosa 	1.14E-06	1.66E-06	2.15E-06	0	0	0	8.95E-07	2.47E-06	9.38E-07	0	0	0	0	0	0	1.52E-06	1.50E-06	1.22E-06
Bacteria |Bacteroidetes |Bacteroidia |Bacteroidales |Odoribacteraceae |Butyricimonas |Unknown	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.00035242	0.000331714	0.000304557
Bacteria |Bacteroidetes |Bacteroidia |Bacteroidales |Odoribacteraceae |Odoribacter |Odoribacter laneus 	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.27E-05	3.90E-06	9.67E-05
Bacteria |Bacteroidetes |Bacteroidia |Bacteroidales |Odoribacteraceae |Odoribacter |Odoribacter sp. AF15-53 	1.46E-06	2.61E-06	1.37E-06	0	0	0	0	0	0	0	0	0	0	0	0	9.79E-07	3.00E-07	0
Bacteria |Bacteroidetes |Bacteroidia |Bacteroidales |Odoribacteraceae |Odoribacter |Odoribacter splanchnicus 	0.000376732	0.000335614	0.000559207	0	0	0	0.000558984	0.000437837	0.000305805	2.23E-05	2.57E-05	2.85E-05	3.09E-05	5.59E-05	2.43E-05	6.53E-07	1.05E-06	0
Bacteria |Bacteroidetes |Bacteroidia |Bacteroidales |Odoribacteraceae |Unknown|Unknown	0.004456478	0.00472419	0.005688049	0	0	0	0.000136985	0.000129624	7.58E-05	0	0	0	0	0	0	0.00386411	0.003968873	0.003126689
Bacteria |Bacteroidetes |Bacteroidia |Bacteroidales |Porphyromonadaceae |Porphyromonas |Porphyromonas sp. 31_2 	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.53E-05	6.15E-06	1.05E-05
Bacteria |Bacteroidetes |Bacteroidia |Bacteroidales |Prevotellaceae |Paraprevotella |Paraprevotella clara 	0	0	0	0	0	0	0	0	0	0	0	2.48E-07	0	0	0	1.65E-05	1.72E-05	9.19E-06
Bacteria |Bacteroidetes |Bacteroidia |Bacteroidales |Prevotellaceae |Paraprevotella |Paraprevotella clara CAG	0	0	0	0	0	0	0	0	0	2.23E-07	2.68E-07	0	0	0	0	0.000116277	8.95E-05	9.36E-05
Bacteria |Bacteroidetes |Bacteroidia |Bacteroidales |Prevotellaceae |Paraprevotella |Paraprevotella xylaniphila 	0	6.16E-06	1.10E-05	0	0	0	0	0	0	0	0	0	0	0	0	0.000603247	0.000478159	0.000429313
Bacteria |Bacteroidetes |Bacteroidia |Bacteroidales |Prevotellaceae |Paraprevotella |Unknown	0	0	0	0	0	0	0	0	0	0	2.68E-07	3.72E-07	0	0	0	0.025600259	0.019358409	0.018561907
Bacteria |Bacteroidetes |Bacteroidia |Bacteroidales |Prevotellaceae |Prevotella |Prevotella bivia 	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	9.79E-07	7.49E-07	7.70E-07
Bacteria |Bacteroidetes |Bacteroidia |Bacteroidales |Prevotellaceae |Prevotella |Prevotella copri 	0	4.74E-06	1.96E-07	0.000343975	0.000170929	0.000580862	2.69E-06	1.90E-06	3.44E-06	0.000196439	0.000459389	0.000327624	1.41E-07	0	0	9.27E-05	0.000173426	0.000110135
Bacteria |Bacteroidetes |Bacteroidia |Bacteroidales |Prevotellaceae |Prevotella |Prevotella denticola 	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.000170663	6.07E-05	8.07E-05
Bacteria |Bacteroidetes |Bacteroidia |Bacteroidales |Prevotellaceae |Prevotella |Prevotella ihumii 	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5.22E-06	8.24E-06	6.16E-06
Bacteria |Bacteroidetes |Bacteroidia |Bacteroidales |Prevotellaceae |Prevotella |Prevotella sp. CAG	0	2.37E-07	7.83E-07	0	0	0	0	0	0	1.20E-05	5.35E-07	2.22E-05	0	0	0	1.12E-05	5.40E-06	8.56E-06
Bacteria |Bacteroidetes |Bacteroidia |Bacteroidales |Prevotellaceae |Prevotella |Prevotella sp. P5-119 	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2.50E-06	3.60E-06	2.08E-06
