Condition	Remission-Responder	Remission-Responder	Remission-Responder	Relapse-non-responder	Relapse-non-responder	Relapse-non-responder	Baseline-Active	Baseline-Active	Baseline-Active	Baseline-Active	Baseline-Active	Baseline-Active	Relapse-non-responder	Relapse-non-responder	Relapse-non-responder	Remission-Responder	Remission-Responder	Remission-Responder				
Taxonomy	M1_S1	M2_S2	M3_S3	N4_S4	N5_S5	N6_S6	O1_S7	O2_S8	O3_S9	V1_S10	V4_S12	V6_S11	X1_S13	X2_S14	X4_S15	Z2_S16	Z3_S17	Z4_S18				
Bacteria |Firmicutes |Clostridia |Clostridiales |Lachnospiraceae |Coprococcus |Coprococcus eutactus 	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0				
Bacteria |Firmicutes |Clostridia |Clostridiales |Lachnospiraceae |Coprococcus |Coprococcus sp. AF19-8AC 	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0				
Bacteria |Firmicutes |Clostridia |Clostridiales |Lachnospiraceae |Coprococcus |Coprococcus sp. OM04-5BH 	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0				
Bacteria |Firmicutes |Clostridia |Clostridiales |Lachnospiraceae |Dorea |Dorea sp. OM02-2LB 	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0				
Bacteria |Firmicutes |Clostridia |Clostridiales |Lachnospiraceae |Lachnoclostridium |[Clostridium] sphenoides 	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0				
Bacteria |Firmicutes |Clostridia |Clostridiales |Lachnospiraceae |Lachnoclostridium |Lachnoclostridium sp. SNUG30386 	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0				
Bacteria |Firmicutes |Clostridia |Clostridiales |Lachnospiraceae |Oribacterium |Oribacterium sp. FC2011 	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0				
Bacteria |Firmicutes |Clostridia |Clostridiales |Lachnospiraceae |Oribacterium |Oribacterium sp. oral taxon 078 	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0				
Bacteria |Firmicutes |Clostridia |Clostridiales |Lachnospiraceae |Unknown|Lachnospiraceae bacterium 9_1_43BFAA 	0	0	0	0	0	0	0	0	1.03E-06	0.000252106	0.000107309	0.000163085	1.18E-07	0	1.59E-07	0	0	0				
Bacteria |Firmicutes |Clostridia |Clostridiales |Lachnospiraceae |Unknown|Lachnospiraceae bacterium AC2029 	0	0	0	0	0	0	0	0	0	0	0	0	0	6.08E-07	0	0	0	0				
Bacteria |Firmicutes |Clostridia |Clostridiales |Lachnospiraceae |Unknown|Lachnospiraceae bacterium AC2031 	0	0	0	0	0	0	0	0	0	0	0	0	1.18E-06	3.65E-07	2.55E-06	0	0	0				
Bacteria |Firmicutes |Clostridia |Clostridiales |Lachnospiraceae |Unknown|Lachnospiraceae bacterium G41 	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0				
Bacteria |Firmicutes |Clostridia |Clostridiales |Lachnospiraceae |Unknown|Lachnospiraceae bacterium GAM79 	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0				
Bacteria |Firmicutes |Clostridia |Clostridiales |Lachnospiraceae |Unknown|Lachnospiraceae bacterium MC2017 	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0				
Bacteria |Firmicutes |Clostridia |Clostridiales |Lachnospiraceae |Unknown|Lachnospiraceae bacterium OF11-28 	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0				
Bacteria |Firmicutes |Clostridia |Clostridiales |Lachnospiraceae |Unknown|Lachnospiraceae bacterium OM02-26 	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0				
Bacteria |Firmicutes |Clostridia |Clostridiales |Oscillospiraceae |Oscillibacter |Oscillibacter ruminantium 	0	0	0	0	0	0	0	0	0	0	0	0	0	1.22E-07	1.59E-07	0	0	0				
Bacteria |Firmicutes |Clostridia |Clostridiales |Peptococcaceae |Desulfitobacterium |Unknown	0	0	0	0	0	0	8.47E-07	9.03E-07	8.86E-07	5.40E-07	2.03E-07	5.76E-07	3.54E-07	0	4.78E-07	0	0	0				
Bacteria |Firmicutes |Clostridia |Clostridiales |Peptococcaceae |Desulfotomaculum |Desulfotomaculum sp. OF05-3 	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0				
Bacteria |Firmicutes |Clostridia |Clostridiales |Peptococcaceae |Peptococcus |Peptococcus niger* 	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0				
Bacteria |Firmicutes |Clostridia |Clostridiales |Peptostreptococcaceae |Intestinibacter |Intestinibacter bartlettii 	0	0	0	0.001620074	0.000200947	0.000152461	0	0	0	0	0	0	0	0	0	0	0	0				
Bacteria |Firmicutes |Clostridia |Clostridiales |Peptostreptococcaceae |Intestinibacter |Intestinibacter bartlettii* 	0	0	0	1.35E-06	2.52E-07	6.11E-07	0	0	0	0	0	0	0	0	0	0	0	0				
Bacteria |Firmicutes |Clostridia |Clostridiales |Peptostreptococcaceae |Unknown|[Clostridium] hiranonis 	0	0	0	1.32E-05	2.27E-06	7.18E-06	0	0	0	0	0	0	0	0	0	0	0	0				
Bacteria |Firmicutes |Clostridia |Clostridiales |Peptostreptococcaceae |Unknown|[Clostridium] thermoalcaliphilum 	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0				
Bacteria |Firmicutes |Clostridia |Clostridiales |Peptostreptococcaceae |Unknown|Peptostreptococcaceae bacterium oral taxon 929 	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0				
Bacteria |Firmicutes |Clostridia |Clostridiales |Ruminococcaceae |Anaeromassilibacillus |Anaeromassilibacillus sp. Marseille-P3876 	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0				
Bacteria |Firmicutes |Clostridia |Clostridiales |Ruminococcaceae |Faecalibacterium |Faecalibacterium sp. OF04-11AC 	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0				
Bacteria |Firmicutes |Clostridia |Clostridiales |Ruminococcaceae |Flavonifractor |Flavonifractor sp. An92 	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0				
Bacteria |Firmicutes |Clostridia |Clostridiales |Ruminococcaceae |Ruminococcus |Ruminococcus sp. AF21-42 	0	0	0	0	0	0	0	0	0	0	0	0	0	4.86E-06	0	0	0	0				
Bacteria |Firmicutes |Clostridia |Clostridiales |Ruminococcaceae |Ruminococcus |Ruminococcus sp. AF33-11BH 	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0				
Bacteria |Firmicutes |Clostridia |Clostridiales |Ruminococcaceae |Ruminococcus |Ruminococcus sp. AM16-34 	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0				
Bacteria |Firmicutes |Clostridia |Clostridiales |Ruminococcaceae |Ruminococcus |Ruminococcus sp. AM26-12LB 	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0				
Bacteria |Firmicutes |Clostridia |Clostridiales |Ruminococcaceae |Ruminococcus |Ruminococcus sp. AM27-16 	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0				
Bacteria |Firmicutes |Clostridia |Clostridiales |Ruminococcaceae |Ruminococcus |Ruminococcus sp. AM29-12LB 	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0				
Bacteria |Firmicutes |Clostridia |Clostridiales |Ruminococcaceae |Ruminococcus |Ruminococcus sp. AM32-17LB 	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0				
Bacteria |Firmicutes |Clostridia |Clostridiales |Ruminococcaceae |Ruminococcus |Ruminococcus sp. AM42-10AC 	0	0	0	0	0	0	0	0	0	9.00E-07	1.01E-06	2.02E-06	0	0	0	0	0	0				
Bacteria |Firmicutes |Clostridia |Clostridiales |Ruminococcaceae |Ruminococcus |Ruminococcus sp. AM47-2BH 	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0				
Bacteria |Firmicutes |Clostridia |Clostridiales |Ruminococcaceae |Ruminococcus |Ruminococcus sp. AM54-14NS 	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0				
Bacteria |Firmicutes |Clostridia |Clostridiales |Ruminococcaceae |Ruminococcus |Ruminococcus sp. OM07-7 	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0				
Bacteria |Firmicutes |Clostridia |Clostridiales |Ruminococcaceae |Ruminococcus |Ruminococcus sp. OM08-9BH 	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0				
Bacteria |Firmicutes |Clostridia |Clostridiales |Ruminococcaceae |Ruminococcus |Ruminococcus sp. TM09-4 	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0				
Bacteria |Firmicutes |Clostridia |Clostridiales |Ruminococcaceae |Ruminococcus |Ruminococcus sp. TM10-9AT 	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0				
Bacteria |Firmicutes |Clostridia |Clostridiales |Ruminococcaceae |Unknown|Ruminococcaceae bacterium AB4001 	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0				
Bacteria |Firmicutes |Clostridia |Clostridiales |Syntrophomonadaceae |Syntrophothermus |Syntrophothermus lipocalidus 	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0				
Bacteria |Firmicutes |Clostridia |Clostridiales |Unknown|Fenollaria |Fenollaria massiliensis 	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0				
Bacteria |Firmicutes |Clostridia |Clostridiales |Unknown|Unknown|butyrate-producing bacterium SS3/4 	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0				
Bacteria |Firmicutes |Clostridia |Clostridiales |Unknown|Unknown|Clostridiales bacterium AF36-10 	0	0	0	0	0	0	0	0	0	0	0	0	2.71E-06	1.46E-06	5.42E-06	0	0	0				
Bacteria |Firmicutes |Clostridia |Halanaerobiales |Halobacteroidaceae |Orenia |Orenia metallireducens 	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0				
Bacteria |Firmicutes |Clostridia |Thermoanaerobacterales |Thermoanaerobacteraceae |Thermodesulfitimonas |Thermodesulfitimonas autotrophica* 	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0				
Bacteria |Firmicutes |Clostridia |Thermoanaerobacterales |Thermoanaerobacterales Family III. Incertae Sedis |Unknown|Unknown	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0				
Bacteria |Firmicutes |Erysipelotrichia |Erysipelotrichales |Erysipelotrichaceae |Allobaculum |Allobaculum stercoricanis* 	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0				
Bacteria |Firmicutes |Erysipelotrichia |Erysipelotrichales |Erysipelotrichaceae |Coprobacillus |Coprobacillus sp. 	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0				
Bacteria |Firmicutes |Erysipelotrichia |Erysipelotrichales |Erysipelotrichaceae |Coprobacillus |Coprobacillus sp. 8_1_38FAA 	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0				
Bacteria |Firmicutes |Erysipelotrichia |Erysipelotrichales |Erysipelotrichaceae |Solobacterium |Solobacterium moorei 	0	0	0	0	0	0	0	0	0	1.80E-07	0	9.60E-08	0	0	0	0	0	0				
Bacteria |Firmicutes |Negativicutes |Acidaminococcales |Acidaminococcaceae |Acidaminococcus |Acidaminococcus sp. AM05-11 	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0				
Bacteria |Firmicutes |Negativicutes |Acidaminococcales |Acidaminococcaceae |Succiniclasticum |Succiniclasticum ruminis* 	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0				
Bacteria |Firmicutes |Negativicutes |Selenomonadales |Selenomonadaceae |Megamonas |Megamonas funiformis 	0	0	0	0	0	0	0.00099237	0.000829498	0.002274357	3.60E-07	0	9.60E-06	0	0	0	0	0	0				
Bacteria |Firmicutes |Negativicutes |Selenomonadales |Selenomonadaceae |Megamonas |Megamonas sp. Calf98-2 	0	0	0	0	0	0	0.000105337	8.53E-05	0.000187057	0	0	8.64E-07	0	0	0	0	0	0				
Bacteria |Firmicutes |Negativicutes |Selenomonadales |Selenomonadaceae |Unknown|Unknown	0	0	0	0	0	0	1.41E-06	2.17E-06	2.81E-06	1.80E-07	0	8.54E-06	0	0	0	0	0	0				
Bacteria |Firmicutes |Negativicutes |Selenomonadales |Sporomusaceae |Sporomusa |Sporomusa silvacetica 	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0				
Bacteria |Firmicutes |Negativicutes |Veillonellales |Veillonellaceae |Anaeroglobus |Anaeroglobus geminatus* 	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0				
Bacteria |Firmicutes |Negativicutes |Veillonellales |Veillonellaceae |Dialister |Dialister invisus 	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0				
Bacteria |Firmicutes |Negativicutes |Veillonellales |Veillonellaceae |Megasphaera |Megasphaera micronuciformis 	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0				
Bacteria |Firmicutes |Negativicutes |Veillonellales |Veillonellaceae |Unknown|Veillonellaceae bacterium DNF00626 	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0				
Bacteria |Firmicutes |Negativicutes |Veillonellales |Veillonellaceae |Veillonella |Veillonella atypica 	0	0	0	5.13E-06	2.52E-07	0	0	0	0	0	0	0	0	0	0	0	0	0				
Bacteria |Firmicutes |Negativicutes |Veillonellales |Veillonellaceae |Veillonella |Veillonella dispar 	0	0	0	3.35E-05	2.27E-06	0	0	0	0	0	0	0	0	0	0	0	0	0				
Bacteria |Firmicutes |Negativicutes |Veillonellales |Veillonellaceae |Veillonella |Veillonella parvula 	0	0	0	1.86E-05	2.77E-06	0	0	0	0	0	0	0	0	0	0	0	0	0				
Bacteria |Firmicutes |Negativicutes |Veillonellales |Veillonellaceae |Veillonella |Veillonella sp. 3_1_44 	0	0	0	1.08E-06	2.52E-07	0	0	0	0	0	0	0	0	0	0	0	0	0				
Bacteria |Firmicutes |Negativicutes |Veillonellales |Veillonellaceae |Veillonella |Veillonella sp. 6_1_27 	0	0	0	8.10E-07	0	0	0	0	0	0	0	0	0	0	0	0	0	0				
Bacteria |Firmicutes |Negativicutes |Veillonellales |Veillonellaceae |Veillonella |Veillonella sp. AF36-20BH 	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0				
Bacteria |Firmicutes |Negativicutes |Veillonellales |Veillonellaceae |Veillonella |Veillonella sp. DORA_A_3_16_22 	0	0	0	1.13E-05	1.01E-06	0	0	0	0	0	0	0	0	0	0	0	0	0				
Bacteria |Firmicutes |Negativicutes |Veillonellales |Veillonellaceae |Veillonella |Veillonella sp. ICM51a 	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0				
Bacteria |Firmicutes |Negativicutes |Veillonellales |Veillonellaceae |Veillonella |Veillonella sp. oral taxon 158 	0	0	0	6.75E-06	1.76E-06	0	0	0	0	0	0	0	0	0	0	0	0	0				
Bacteria |Firmicutes |Negativicutes |Veillonellales |Veillonellaceae |Veillonella |Veillonella sp. S13053-19 	0	0	0	1.54E-05	1.76E-06	0	0	0	0	0	0	0	0	0	0	0	0	0				
Bacteria |Firmicutes |Negativicutes |Veillonellales |Veillonellaceae |Veillonella |Veillonella tobetsuensis 	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0				
Bacteria |Firmicutes |Tissierellia |Tissierellales |Peptoniphilaceae |Anaerococcus |Anaerococcus lactolyticus 	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0				
Bacteria |Firmicutes |Tissierellia |Tissierellales |Peptoniphilaceae |Anaerosphaera |Anaerosphaera sp. HMSC064C01 	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0				
Bacteria |Firmicutes |Tissierellia |Tissierellales |Peptoniphilaceae |Finegoldia |Finegoldia magna 	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0				
Bacteria |Firmicutes |Tissierellia |Tissierellales |Peptoniphilaceae |Murdochiella |Murdochiella vaginalis 	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0				
Bacteria |Firmicutes |Tissierellia |Tissierellales |Tissierellaceae |Unknown|[Clostridium] ultunense 	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0				
Bacteria |Firmicutes |Tissierellia |Unknown|Unknown|Unknown|Tissierellia bacterium S7-1-4 	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0				
Bacteria |Firmicutes |unified Firmicutes sensu stricto no rank|Unknown|Unknown|Unknown|Firmicutes bacterium AF12-30 	0	0	0	0	0	0	0	0	0	0	0	0	5.90E-07	0	1.59E-06	0	0	0				
Bacteria |Firmicutes |unified Firmicutes sensu stricto no rank|Unknown|Unknown|Unknown|Firmicutes bacterium AF25-13AC 	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0				
Bacteria |Fusobacteria |Fusobacteriia |Fusobacteriales |Fusobacteriaceae |Cetobacterium |Cetobacterium ceti 	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0				
Bacteria |Ignavibacteriae |Ignavibacteria |Unknown|Unknown|Unknown|Ignavibacteria bacterium RBG_16_35_7 	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0				
Bacteria |Ignavibacteriae |Ignavibacteria |Unknown|Unknown|Unknown|Unknown	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0				
Bacteria |Ignavibacteriae |Unknown|Unknown|Unknown|Unknown|Unknown	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0				
Bacteria |Planctomycetes |Planctomycetia |Planctomycetales |Gemmataceae |Fimbriiglobus |Fimbriiglobus ruber* 	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0				
Bacteria |Planctomycetes |unified Planctomycetes no rank|Unknown|Unknown|Unknown|Planctomycetes bacterium RBG_16_59_8 	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0				
Bacteria |Proteobacteria |Alphaproteobacteria |Rhizobiales |Methylobacteriaceae |Methylorubrum |Methylorubrum extorquens 	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0				
Bacteria |Proteobacteria |Alphaproteobacteria |Rhodobacterales |Rhodobacteraceae |Rhodobacter |Rhodobacter sphaeroides 	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0				
Bacteria |Proteobacteria |Alphaproteobacteria |Rhodospirillales |Rhodospirillaceae |Azospirillum |Azospirillum brasilense 	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0				
Bacteria |Proteobacteria |Alphaproteobacteria |Rhodospirillales |Rhodospirillaceae |Azospirillum |Azospirillum sp. 51_20 	0	0	0	0	0	0	7.06E-06	3.07E-06	0	0	0	0	0	0	0	0	0	0				
Bacteria |Proteobacteria |Alphaproteobacteria |Sphingomonadales |Sphingomonadaceae |Sphingomonas |Sphingomonas sp. 66-10 	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0				
Bacteria |Proteobacteria |Betaproteobacteria |Burkholderiales |Comamonadaceae |Variovorax |Variovorax sp. JS1663 	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0				
Bacteria |Proteobacteria |Betaproteobacteria |Burkholderiales |Sutterellaceae |Parasutterella |Parasutterella excrementihominis CAG	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0				
Bacteria |Proteobacteria |Betaproteobacteria |Burkholderiales |Sutterellaceae |Sutterella |Sutterella sp. 54_7 	0	0	0	0	0	0	0	0	0	7.92E-05	0	0	0	0	0	0	0	0				
Bacteria |Proteobacteria |Deltaproteobacteria |Syntrophobacterales |Syntrophaceae |Smithella |Smithella sp. SC_K08D17 	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0				
Bacteria |Proteobacteria |Deltaproteobacteria |Syntrophobacterales |Syntrophaceae |Syntrophus |Syntrophus sp. RIFOXYC2_FULL_54_9 	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0				
Bacteria |Proteobacteria |Deltaproteobacteria |Unknown|Unknown|Unknown|Deltaproteobacteria bacterium 	0	0	0	0	0	0	1.41E-06	2.17E-06	1.18E-06	0	0	0	0	0	0	0	0	0				
Bacteria |Proteobacteria |Gammaproteobacteria |Aeromonadales |Succinivibrionaceae |Succinivibrio |Succinivibrio dextrinosolvens 	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0				
Bacteria |Proteobacteria |Gammaproteobacteria |Aeromonadales |Succinivibrionaceae |Unknown|Unknown	0	0	0	0	0	0	8.47E-07	0	0	0	0	0	0	0	0	0	0	0				
Bacteria |Proteobacteria |Gammaproteobacteria |Enterobacterales |Enterobacteriaceae |Enterobacter |Unknown	0	0	0	2.70E-06	2.52E-07	1.13E-05	0	0	0	0	0	0	0	0	0	0	0	0				
Bacteria |Proteobacteria |Gammaproteobacteria |Enterobacterales |Morganellaceae |Morganella |Morganella morganii 	0	0	0	2.70E-07	1.26E-06	0	2.82E-07	1.81E-07	0	0	0	0	0	0	0	0	0	0				
Bacteria |Proteobacteria |Gammaproteobacteria |Enterobacterales |Morganellaceae |Proteus |Unknown	0	0	0	1.89E-06	2.39E-05	3.36E-06	0	0	0	0	0	0	0	0	0	0	0	0				
Bacteria |Proteobacteria |Gammaproteobacteria |Enterobacterales |Morganellaceae |Xenorhabdus |Xenorhabdus bovienii 	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0				
Bacteria |Proteobacteria |Gammaproteobacteria |Pasteurellales |Pasteurellaceae |Unknown|Unknown	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0				
Bacteria |Proteobacteria |Gammaproteobacteria |Pseudomonadales |Pseudomonadaceae |Pseudomonas |Pseudomonas stutzeri group  group	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0				
Bacteria |Proteobacteria |Gammaproteobacteria |Unknown|Unknown|Ignatzschineria |Ignatzschineria sp. F8392 	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0				
Bacteria |Proteobacteria |Gammaproteobacteria |Vibrionales |Vibrionaceae |Vibrio |Unknown	0	0	0	2.70E-07	2.77E-06	4.58E-07	2.82E-07	3.61E-07	1.48E-07	0	0	0	0	0	0	0	0	0				
Bacteria |Spirochaetes |unified Spirochaetes no rank|Unknown|Unknown|Unknown|Spirochaetes bacterium GWD1_27_9 	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0				
Eukaryota |Ascomycota |Saccharomycetes |Saccharomycetales |Saccharomycetaceae |Saccharomyces |Saccharomyces cerevisiae 	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0				
Eukaryota |Ascomycota |Saccharomycetes |Saccharomycetales |Saccharomycetaceae |Saccharomyces |Unknown	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0				
Eukaryota |Ascomycota |Saccharomycetes |Saccharomycetales |Saccharomycetaceae |Unknown|Unknown	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0				
Eukaryota |Ascomycota |Saccharomycetes* |Saccharomycetales* |Unknown|Unknown|Unknown	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0				
Eukaryota |Ascomycota |Unknown|Unknown|Unknown|Unknown|Unknown	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0				
Eukaryota |Chordata |Sarcopterygii super|Laurasiatheria super|Suidae |Sus |Unknown	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0				
Viruses |Unknown|unified Myoviridae no rank|Caudovirales |Myoviridae |Unknown|Sphingomonas phage PAU 	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0				
Viruses |Unknown|unified Myoviridae no rank|Caudovirales |Myoviridae |Unknown|Vibrio phage 11895-B1 	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0				
Viruses |Unknown|unified Siphoviridae no rank|Caudovirales |Siphoviridae |Unknown|Bacteroides phage B40-8 	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0				
Viruses |Unknown|unified Siphoviridae no rank|Caudovirales |Siphoviridae |Unknown|Croceibacter phage P2559S 	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0				
Viruses |Unknown|unified Siphoviridae no rank|Caudovirales |Siphoviridae |Unknown|Unknown	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0				
Viruses |Unknown|Unknown|Caudovirales |Podoviridae |Unknown|Unknown	0	0	0	0	0	0	0	0	0	3.60E-07	0	1.92E-07	0	0	0	0	0	0				
Archaea |Euryarchaeota |Unknown|Unknown|Unknown|Unknown|Unknown	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0				
Bacteria |Acidobacteria |Solibacteres |Solibacterales |Solibacteraceae |Candidatus Sulfopaludibacter |Candidatus Sulfopaludibacter sp. SbA3 	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0				
Bacteria |Actinobacteria |Actinobacteria |Actinomycetales |Actinomycetaceae |Actinomyces |Actinomyces sp. HMSC08A01 	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0				
Bacteria |Actinobacteria |Actinobacteria |Actinomycetales |Actinomycetaceae |Actinomyces |Actinomyces sp. oral taxon 180 	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0				
Bacteria |Actinobacteria |Actinobacteria |Actinomycetales |Actinomycetaceae |Unknown|Actinomycetaceae bacterium sk1b4 	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0				
Bacteria |Actinobacteria |Actinobacteria |Corynebacteriales |Corynebacteriaceae |Corynebacterium |Corynebacterium jeikeium 	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0				
Bacteria |Actinobacteria |Actinobacteria |Micrococcales |Sanguibacteraceae |Sanguibacter |Sanguibacter keddieii 	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0				
Bacteria |Actinobacteria |Actinobacteria |Micromonosporales |Micromonosporaceae |Micromonospora |Micromonospora inositola 	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0				
Bacteria |Actinobacteria |Coriobacteriia |Coriobacteriales |Atopobiaceae |Atopobium |Atopobium rimae 	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0				
Bacteria |Actinobacteria |Coriobacteriia |Coriobacteriales |Atopobiaceae |Atopobium |Atopobium sp. BS2 	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0				
Bacteria |Actinobacteria |Coriobacteriia |Coriobacteriales |Coriobacteriaceae |Collinsella |Collinsella sp. AM16-21 	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0				
Bacteria |Actinobacteria |Coriobacteriia |Coriobacteriales |Coriobacteriaceae |Collinsella |Collinsella sp. AM20-15AC 	0	0	0	0	0	0	0	0	8.86E-07	0	0	0	0	0	0	0	0	0				
Bacteria |Actinobacteria |Coriobacteriia |Eggerthellales |Eggerthellaceae |Cryptobacterium |Cryptobacterium curtum 	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0				
