Condition	Remission-Responder	Remission-Responder	Remission-Responder	Relapse-non-responder	Relapse-non-responder	Relapse-non-responder	Baseline-Active	Baseline-Active	Baseline-Active	Baseline-Active	Baseline-Active	Baseline-Active	Relapse-non-responder	Relapse-non-responder	Relapse-non-responder	Remission-Responder	Remission-Responder	Remission-Responder				
Taxonomy	M1_S1	M2_S2	M3_S3	N4_S4	N5_S5	N6_S6	O1_S7	O2_S8	O3_S9	V1_S10	V4_S12	V6_S11	X1_S13	X2_S14	X4_S15	Z2_S16	Z3_S17	Z4_S18				
Bacteria |Bacteroidetes |Bacteroidia |Bacteroidales |Bacteroidaceae |Bacteroides |Bacteroides sp. 2_2_4 	0	0	0	0	0	0	0	0	2.36E-06	0	0	7.68E-07	0	0	0	5.08E-06	6.88E-06	6.96E-06				
Bacteria |Bacteroidetes |Bacteroidia |Bacteroidales |Bacteroidaceae |Bacteroides |Bacteroides sp. 3_1_13 	4.63E-06	4.96E-06	2.64E-06	0	0	0	0	0	2.95E-07	9.00E-07	1.83E-06	2.78E-06	1.18E-06	3.28E-06	7.96E-07	4.55E-06	4.63E-06	3.71E-06				
Bacteria |Bacteroidetes |Bacteroidia |Bacteroidales |Bacteroidaceae |Bacteroides |Bacteroides sp. 3_1_23 	0	0	0	0	0	0	6.21E-06	1.03E-05	1.62E-06	2.36E-05	2.37E-05	2.46E-05	5.75E-05	5.93E-05	4.94E-06	2.46E-05	5.63E-05	3.23E-05				
Bacteria |Bacteroidetes |Bacteroidia |Bacteroidales |Bacteroidaceae |Bacteroides |Bacteroides sp. 3_1_40A 	5.37E-05	7.25E-05	4.93E-05	0	0	0	0	0	0	1.71E-05	2.03E-06	1.34E-06	0	0	0	4.15E-05	2.98E-05	4.53E-05				
Bacteria |Bacteroidetes |Bacteroidia |Bacteroidales |Bacteroidaceae |Bacteroides |Bacteroides sp. 4_3_47FAA 	8.69E-07	6.47E-07	1.76E-06	0	0	0	9.60E-06	6.68E-06	3.53E-05	0	0	3.84E-07	1.18E-07	1.22E-07	6.37E-07	4.73E-06	9.76E-06	7.93E-06				
Bacteria |Bacteroidetes |Bacteroidia |Bacteroidales |Bacteroidaceae |Bacteroides |Bacteroides sp. 9_1_42FAA 	0	0	0	0	0	0	4.80E-06	2.89E-06	1.62E-06	3.78E-05	4.50E-05	4.69E-05	0	0	0	5.26E-06	9.39E-06	1.09E-05				
Bacteria |Bacteroidetes |Bacteroidia |Bacteroidales |Bacteroidaceae |Bacteroides |Bacteroides sp. AF29-11 	0	0	1.94E-06	0	0	0	0	0	0	1.08E-06	6.09E-07	2.21E-06	0	0	0	4.46E-07	6.51E-06	1.55E-07				
Bacteria |Bacteroidetes |Bacteroidia |Bacteroidales |Bacteroidaceae |Bacteroides |Bacteroides sp. AF39-10AT 	0	4.88E-05	0	0	0	1.53E-07	0	1.81E-07	9.15E-06	0.000127403	0.000139766	0.000192073	0.000368843	0.0004434	3.19E-07	1.61E-06	0	3.87E-08				
Bacteria |Bacteroidetes |Bacteroidia |Bacteroidales |Bacteroidaceae |Bacteroides |Bacteroides sp. AF39-16AC 	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.000173789	4.63E-06	2.67E-06				
Bacteria |Bacteroidetes |Bacteroidia |Bacteroidales |Bacteroidaceae |Bacteroides |Bacteroides sp. AM16-13 	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4.84E-05	7.77E-05	6.66E-05				
Bacteria |Bacteroidetes |Bacteroidia |Bacteroidales |Bacteroidaceae |Bacteroides |Bacteroides sp. AM23-18 	0	0	0	0	0	0	0	0	0	0	2.03E-07	2.78E-06	0	0	0	1.44E-05	2.70E-05	3.54E-05				
Bacteria |Bacteroidetes |Bacteroidia |Bacteroidales |Bacteroidaceae |Bacteroides |Bacteroides sp. AM30-16 	2.90E-07	2.16E-07	1.76E-07	0	0	0	0	0	0	0	0	0	0	0	0	6.78E-06	2.88E-06	3.56E-06				
Bacteria |Bacteroidetes |Bacteroidia |Bacteroidales |Bacteroidaceae |Bacteroides |Bacteroides sp. AM51-7 	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2.85E-06	0	0				
Bacteria |Bacteroidetes |Bacteroidia |Bacteroidales |Bacteroidaceae |Bacteroides |Bacteroides sp. AM54-2NS 	9.26E-06	7.33E-06	5.81E-06	0	0	0	0	0	1.18E-06	1.62E-06	1.22E-06	8.64E-07	4.60E-06	5.47E-06	0	8.03E-07	8.76E-07	1.51E-06				
Bacteria |Bacteroidetes |Bacteroidia |Bacteroidales |Bacteroidaceae |Bacteroides |Bacteroides sp. AR20 	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3.66E-06	6.01E-06	3.25E-06				
Bacteria |Bacteroidetes |Bacteroidia |Bacteroidales |Bacteroidaceae |Bacteroides |Bacteroides sp. AR29 	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.69E-06	1.38E-06	1.43E-06				
Bacteria |Bacteroidetes |Bacteroidia |Bacteroidales |Bacteroidaceae |Bacteroides |Bacteroides sp. CAG	0	2.16E-07	3.35E-06	0	0	0	0	0	3.69E-06	0.000189664	0.000156806	0.000234117	5.90E-07	5.72E-06	0	2.23E-06	6.26E-07	7.73E-07				
Bacteria |Bacteroidetes |Bacteroidia |Bacteroidales |Bacteroidaceae |Bacteroides |Bacteroides sp. CF01-10NS 	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2.23E-06	8.76E-07	1.20E-06				
Bacteria |Bacteroidetes |Bacteroidia |Bacteroidales |Bacteroidaceae |Bacteroides |Bacteroides sp. D2 	0	3.02E-06	0	0	0	0	0	0	1.18E-06	0	0	0	0	0	0	0.000606878	0.000223004	0.000356781				
Bacteria |Bacteroidetes |Bacteroidia |Bacteroidales |Bacteroidaceae |Bacteroides |Bacteroides sp. D22 	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2.80E-05	1.29E-05	2.21E-05				
Bacteria |Bacteroidetes |Bacteroidia |Bacteroidales |Bacteroidaceae |Bacteroides |Bacteroides sp. HMSC073E02 	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	6.15E-06	2.13E-06	3.17E-06				
Bacteria |Bacteroidetes |Bacteroidia |Bacteroidales |Bacteroidaceae |Bacteroides |Bacteroides sp. HPS0048 	0	0	0	0	0	0	9.38E-05	0.000104771	1.93E-05	0	0	0	0	0	0	1.96E-06	3.38E-06	2.28E-06				
